		名詞
。。。	...	名詞
みぎ	->	名詞
せんと	CentOS	名詞
ひだり	<-	記号
みぎ	->	記号
みぎや	⇨	記号
ひだりや	<=	記号
みぎや	=>	記号
ひだりや	⇦	記号
べいぐらんと	Vagrant	名詞
ぐーぐる	Google	名詞
ぎっとはぶ	GitHub	名詞
ぎっとばっしゅ	Git Bush	名詞
おけ	OK	名詞
かかく	SSH	名詞
ひだりかっこ	(	名詞
みぎかっこ	)	名詞
べいぐらんと	vagrant	名詞
みぎや	 ⇨ 	名詞
みぎや	 => 	名詞
れい	<例>	名詞
あぷたなすたじお	AptanaStudio	名詞
わらい	(笑)	名詞
らじゃ	('◇')ゞﾗｼﾞｬ	顔文字
げつよう	(月)	名詞
かよう	(火)	名詞
すいよう	(水)	名詞
もくよう	(木)	名詞
きんよう	(金)	名詞
どよう	(土)	名詞
にちよう	(日)	名詞
みぎや	 → 	名詞
さんこう	<参考>	名詞
るびーまいん	RubyMine	名詞
おねがいします	m(_ _)m	顔文字
なみから	～	記号
からなみ	～	記号
たてみぎ	┣	記号
たてみぎ	┠	記号
たてみぎ	┝	記号
たてみぎ	├	記号
たてひだり	┫	記号
たてひだり	┤	記号
たてひだり	┥	記号
たてひだり	┨	記号
とぅどぅ	ToDo	名詞
1	1. 	記号
1.	1. 	記号
ょのや	ToDo	固有名詞
おつかれさまです	お疲れさまです	名詞
マージリクエスト	merge request	名詞
